Date,Close,High,Low,Open,Volume
2023-05-04,6844.02685546875,6846.1240234375,6780.0869140625,6812.72216796875,137517900
2023-05-05,6787.630859375,6851.5859375,6733.77587890625,6844.02685546875,148189400
2023-05-08,6769.630859375,6798.32177734375,6756.6611328125,6787.4912109375,179625500
2023-05-09,6779.97998046875,6793.76611328125,6742.17919921875,6769.630859375,172097200
2023-05-10,6811.90478515625,6820.123046875,6775.19287109375,6780.40087890625,181480200
2023-05-11,6755.93798828125,6814.1240234375,6717.4248046875,6811.90478515625,162906200
2023-05-12,6707.76318359375,6755.93798828125,6704.56591796875,6755.93798828125,173779500
2023-05-15,6711.740234375,6729.2998046875,6656.64794921875,6708.4638671875,142578400
2023-05-16,6676.56396484375,6729.07421875,6659.0732421875,6711.740234375,156372400
2023-05-17,6663.11376953125,6706.59521484375,6661.4677734375,6676.423828125,180449300
2023-05-19,6700.56103515625,6715.03076171875,6662.7490234375,6663.11376953125,161565100
2023-05-22,6729.64697265625,6757.6240234375,6675.876953125,6700.56103515625,167491100
2023-05-23,6736.68408203125,6772.64697265625,6727.06787109375,6729.64697265625,162216500
2023-05-24,6745.80419921875,6755.8828125,6713.89306640625,6736.68408203125,137679300
2023-05-25,6704.23095703125,6749.712890625,6702.52978515625,6745.80419921875,156986800
2023-05-26,6687.0009765625,6727.2861328125,6669.23583984375,6704.23095703125,181504900
2023-05-29,6681.10205078125,6708.3671875,6617.23681640625,6687.28076171875,164801800
2023-05-30,6636.4228515625,6700.23779296875,6636.4228515625,6681.10205078125,173775000
2023-05-31,6633.26123046875,6657.64990234375,6562.955078125,6636.4228515625,615071900
2023-06-05,6633.43701171875,6663.71484375,6598.509765625,6633.26123046875,152714500
2023-06-06,6618.9228515625,6677.56787109375,6602.00390625,6633.43701171875,231838500
2023-06-07,6619.7548828125,6638.5810546875,6578.755859375,6619.06298828125,162881000
2023-06-08,6666.330078125,6666.330078125,6598.419921875,6619.7548828125,168616600
2023-06-09,6694.02392578125,6703.82421875,6648.958984375,6666.0498046875,182769600
2023-06-12,6722.373046875,6722.373046875,6670.52197265625,6694.583984375,158712000
2023-06-13,6719.01416015625,6744.0380859375,6697.07080078125,6722.373046875,176568000
2023-06-14,6699.716796875,6744.64404296875,6672.85595703125,6718.8740234375,178279800
2023-06-15,6713.794921875,6717.4560546875,6660.9091796875,6699.716796875,151187300
2023-06-16,6698.546875,6726.4560546875,6669.3359375,6713.51513671875,172061800
2023-06-19,6686.05908203125,6705.0380859375,6669.0498046875,6698.546875,161424500
2023-06-20,6660.455078125,6692.44091796875,6626.14892578125,6686.05908203125,118276600
2023-06-21,6702.625,6702.625,6635.673828125,6660.455078125,120273100
2023-06-22,6652.26123046875,6717.97607421875,6652.26123046875,6702.76513671875,168533600
2023-06-23,6639.73291015625,6665.6630859375,6635.48193359375,6652.26123046875,113447100
2023-06-26,6664.66796875,6674.06005859375,6622.18408203125,6639.73291015625,126037100
2023-06-27,6661.87890625,6679.6259765625,6652.90380859375,6664.66796875,142328900
2023-07-03,6696.7158203125,6696.7158203125,6660.82421875,6661.73583984375,125551000
2023-07-04,6681.75390625,6713.9931640625,6672.77392578125,6696.85888671875,146273000
2023-07-05,6718.97705078125,6719.05615234375,6676.93408203125,6681.75390625,148911000
2023-07-06,6757.3310546875,6766.27294921875,6712.07421875,6718.26318359375,179543000
2023-07-07,6716.458984375,6757.0478515625,6711.22314453125,6757.0478515625,158332900
2023-07-10,6731.0380859375,6763.5458984375,6716.458984375,6716.458984375,123617000
2023-07-11,6796.923828125,6796.923828125,6730.6298828125,6731.18017578125,160428000
2023-07-12,6808.208984375,6820.17919921875,6785.85595703125,6796.923828125,161722800
2023-07-13,6810.212890625,6835.73779296875,6783.7412109375,6808.35107421875,171443900
2023-07-14,6869.57177734375,6874.77587890625,6810.212890625,6810.212890625,160702800
2023-07-17,6867.14404296875,6931.27197265625,6867.14404296875,6869.712890625,176805700
2023-07-18,6830.203125,6902.14306640625,6798.43212890625,6867.14404296875,150363000
2023-07-20,6864.18896484375,6874.89208984375,6827.9990234375,6830.06103515625,142032500
2023-07-21,6880.8017578125,6880.8017578125,6837.64599609375,6864.18896484375,131640100
2023-07-24,6899.39599609375,6929.68408203125,6877.9482421875,6880.8017578125,150084400
2023-07-25,6917.7109375,6944.6201171875,6897.97802734375,6897.97802734375,150504400
2023-07-26,6948.27880859375,6955.97509765625,6917.4072265625,6917.7109375,149683800
2023-07-27,6896.6630859375,6966.1669921875,6896.6630859375,6948.27880859375,158624100
2023-07-28,6900.22998046875,6904.10498046875,6857.3681640625,6896.80517578125,146686100
2023-07-31,6931.35888671875,6931.35888671875,6895.0732421875,6900.22998046875,171457600
2023-08-01,6886.49609375,6934.38720703125,6880.466796875,6931.0751953125,196062700
2023-08-02,6854.509765625,6886.49609375,6833.97998046875,6886.49609375,183858400
2023-08-03,6898.0771484375,6924.05322265625,6839.7431640625,6854.509765625,163613400
2023-08-04,6852.841796875,6925.01416015625,6850.89990234375,6898.21923828125,118791000
2023-08-07,6886.3662109375,6904.35595703125,6852.841796875,6852.841796875,134540800
2023-08-08,6868.81298828125,6915.05078125,6861.634765625,6886.5068359375,170357400
2023-08-09,6875.11181640625,6901.06005859375,6863.083984375,6868.81298828125,218491200
2023-08-10,6893.27587890625,6910.7548828125,6875.11181640625,6875.11181640625,162734000
2023-08-11,6879.97900390625,6906.64501953125,6865.11181640625,6893.27587890625,130736700
2023-08-14,6910.171875,6910.171875,6823.75390625,6879.97900390625,138804900
2023-08-15,6915.10107421875,6928.6298828125,6898.3818359375,6910.455078125,172760000
2023-08-16,6900.5380859375,6915.10107421875,6855.88818359375,6915.10107421875,152291200
2023-08-18,6859.912109375,6899.830078125,6856.37890625,6899.830078125,130737900
2023-08-21,6866.033203125,6890.27587890625,6859.4228515625,6860.05322265625,207708300
2023-08-22,6916.4501953125,6927.4482421875,6860.68896484375,6866.033203125,158573900
2023-08-23,6921.41015625,6959.43212890625,6916.4501953125,6916.4501953125,170674700
2023-08-24,6899.39208984375,6937.64892578125,6898.38818359375,6921.41015625,142846200
2023-08-25,6895.44287109375,6906.083984375,6869.6328125,6899.39208984375,129994800
2023-08-28,6921.72705078125,6940.12109375,6895.8681640625,6895.8681640625,185488900
2023-08-29,6957.8349609375,6964.73388671875,6921.72705078125,6921.72705078125,244345800
2023-08-30,6966.65576171875,7008.48681640625,6958.259765625,6958.259765625,159326300
2023-08-31,6953.259765625,6982.34521484375,6924.22509765625,6966.65576171875,233127700
